Mach,AOA,Lift,Drag
1.33,0,6.243885953,5.01641479
1.33,1,7.439271881,5.211094789
1.33,2,8.686227492,5.468554775
1.33,3,10.13520647,5.790845565
1.33,4,11.70640859,6.202593357
1.33,5,13.29163275,6.657835096
1.33,6,15.02018047,7.218658334
1.33,7,16.61461104,7.80998921
1.33,8,18.18336087,8.445349715
1.33,9,19.87603798,9.182766749
1.33,10,21.51939721,9.970666523
1.33,11,22.51135442,10.6549384
1.33,12,24.13306202,11.56609758
1.33,13,26.04556069,12.64363199
1.33,14,27.62169236,13.68015952
1.33,15,29.16334725,14.77445457
1.33,16,30.66648726,15.92478444
1.33,17,32.12613587,17.12862521
1.33,18,33.53444828,18.38193862
1.33,19,34.882974,19.68045188
1.33,20,36.17039156,21.02163755
2,0,11.91467441,5.61894525
2,1,14.70511278,6.088396837
2,2,17.71350742,6.699914002
2,3,20.63759468,7.386005114
2,4,23.743319,8.232748783
2,5,26.81974091,9.168023344
2,6,30.10312525,10.28633447
2,7,32.94895187,11.43557611
2,8,35.9953833,12.7350146
2,9,39.15709431,14.19211743
2,10,42.27910375,15.7672498
2,11,44.60579889,17.2677881
2,12,47.70195945,19.09057088
2,13,50.91919335,21.08440678
2,14,53.8847859,23.13382116
2,15,56.80191122,25.30105565
2,16,59.6663553,27.58492978
2,17,62.46365641,29.97911471
2,18,65.19603977,32.48375786
2,19,67.85059768,35.09313739
2,20,70.42523038,37.8056336
3,0,21.73683378,6.821439101
3,1,27.09351585,7.762793611
3,2,32.47674245,8.916981933
3,3,37.61140544,10.21148752
3,4,42.91672284,11.7541818
3,5,48.89051061,13.62378142
3,6,54.7795757,15.72243676
3,7,60.23942895,17.96721528
3,8,65.81932417,20.43913787
3,9,71.77564863,23.24823704
3,10,77.07955549,26.09428725
3,11,81.40755681,28.90507687
3,12,87.32828462,32.41238647
3,13,94.56082888,36.66739493
3,14,100.5002938,40.72806747
3,15,106.4362242,45.05859655
3,16,112.3219939,49.64597048
3,17,117.93713,54.39726001
3,18,122.6859601,59.02803733
3,19,128.2849075,64.31860489
3,20,133.8015021,69.86106771
4,0,32.10238571,8.164898768
4,1,40.08207317,9.601657651
4,2,48.22838569,11.38119973
4,3,56.21449852,13.41751822
4,4,65.07193727,15.94498486
4,5,73.64504383,18.73318526
4,6,82.17701388,21.87115993
4,7,91.46223312,25.54388419
4,8,100.1767895,29.41562728
4,9,110.3473773,34.05022398
4,10,119.3333443,38.75292018
4,11,127.2291381,43.51216752
4,12,137.0348275,49.23931692
4,13,148.1271225,55.88872353
4,14,158.045723,62.54705459
4,15,168.0473722,69.68801585
4,16,178.1161197,77.32097722
4,17,188.1783574,85.4294526
4,18,198.205701,94.01208452
4,19,208.2418126,103.0998075
4,20,218.1915518,112.6594241
5,0,42.65646618,9.447714802
5,1,53.31731622,11.37767737
5,2,64.49071417,13.79082384
5,3,75.86801529,16.67506848
5,4,88.32549996,20.1959528
5,5,100.8997954,24.20664865
5,6,113.4213242,28.7253367
5,7,127.0558352,34.00087013
5,8,139.6916026,39.55900111
5,9,155.1669188,46.41170452
5,10,168.3201,53.23326598
5,11,181.7425302,60.67941054
5,12,196.7409124,69.24476487
5,13,210.9523032,78.25319516
5,14,225.9895694,88.14345507
5,15,241.1322184,98.75647407
5,16,256.3181135,110.0849902
5,17,271.6077363,122.1765809
5,18,287.0418742,135.0722941
5,19,302.4695991,148.7316898
5,20,318.2629516,163.355555
6,0,52.86679796,10.67865112
6,1,66.76276082,13.17509775
6,2,81.34330865,16.30522228
6,3,96.22551132,20.05769811
6,4,112.1812243,24.57902734
6,5,128.9618834,29.87911329
6,6,146.3599353,35.98235883
6,7,164.1444267,42.87085366
6,8,182.531557,50.61025946
6,9,202.7696688,59.60421243
6,10,222.9400418,69.40023137
6,11,242.7895364,79.93280638
6,12,265.3183838,92.20833925
6,13,286.4557794,105.031336
6,14,306.9662649,118.4818096
6,15,329.5971109,133.7091605
6,16,352.1101582,149.9545213
6,17,374.3146234,167.1526178
6,18,396.3496104,185.3572017
6,19,418.2250907,204.5788259
6,20,440.0001649,224.8577221
7,0,62.40931025,11.86924161
7,1,79.21702047,14.89452746
7,2,96.9846073,18.71056658
7,3,118.2962062,23.7520252
7,4,138.4214745,29.43966978
7,5,159.8789779,36.17260639
7,6,182.3512973,43.98301793
7,7,205.2798519,52.79510319
7,8,229.3723064,62.80919777
7,9,254.7211378,74.13666162
7,10,0,0
7,11,307.8861381,100.6946696
7,12,337.5379108,116.6722375
7,13,365.8918779,133.5446032
7,14,396.8445544,152.5304725
7,15,428.6965968,173.2349097
7,16,461.4308614,195.7380692
7,17,494.918673,220.0738304
7,18,529.1028295,246.3079864
7,19,553.6180727,269.6841112
7,20,584.0352548,297.3873697
8,0,74.07350363,13.28632992
8,1,94.50603601,16.96432103
8,2,116.2882193,21.63535589
8,3,139.4090837,27.37267446
8,4,164.0281877,34.28459524
8,5,190.1836935,42.46769526
8,6,217.9277646,52.02685866
8,7,251.1764465,63.92889624
8,8,281.5162322,76.45932437
8,9,314.9254112,91.05528698
8,10,348.5308863,107.0654013
8,11,381.2813593,124.1919734
8,12,419.0074912,144.3641348
8,13,455.9117555,165.9575053
8,14,495.71141,190.1165521
8,15,536.8291045,216.5406899
8,16,579.1456163,245.3014622
8,17,622.6501967,276.5127436
8,18,667.1644537,310.2190475
8,19,712.6618044,346.5318781
8,20,758.718491,385.3738006
9,0,89.05922455,15.04948908
9,1,0,0
9,2,0,0
9,3,0,0
9,4,199.300001,40.81054778
9,5,231.9827696,50.97186007
9,6,266.8245225,62.88999665
9,7,303.7481714,76.67951924
9,8,339.5602862,91.71256233
9,9,379.8554526,109.3728586
9,10,0,0
9,11,463.2268441,150.4958359
9,12,509.9826761,175.3526108
9,13,556.7982965,202.3443327
9,14,606.7462455,232.3881845
9,15,658.4177132,265.2935508
9,16,711.7087352,301.1737582
9,17,766.482805,340.1251209
9,18,822.2487467,382.0839408
9,19,879.7545383,427.5758284
9,20,938.3635954,476.4132422
10,0,100.233787,16.46623242
10,1,129.0246074,21.65792909
10,2,159.9329837,28.28969066
10,3,193.3544918,36.54533158
10,4,229.1459765,46.53980045
10,5,273.0146328,59.43532336
10,6,315.3834102,73.82113209
10,7,358.1122946,90.02647051
10,8,0,0
10,9,453.83964,130.2689408
10,10,505.6098626,154.4414512
10,11,553.9445307,179.6656794
10,12,611.0905956,209.8435566
10,13,668.5120442,242.6783455
10,14,729.8678092,279.300065
10,15,793.5580992,319.5164716
10,16,858.2773312,363.0167192
10,17,926.265601,410.8841874
10,18,995.7937962,462.6069548
10,19,1055.418806,512.9362667
10,20,1124.165124,570.7565523
11,1,0,0
11,2,0,0
11,3,0,0
11,4,271.979998,54.4968843
11,5,319.633044,69.1068271
11,6,368.370921,85.8440187
11,7,419.480291,105.066288
11,8,473.725034,127.114025
11,9,0,0
11,10,0,0
11,11,653.487775,211.723161
11,12,679.695108,233.451345
11,13,791.685638,287.1786
11,14,864.936755,330.813833
11,15,942.097313,379.175764
