Mach,AOA,Lift,Drag
1.33,0,7.014635029,7.026279107
1.33,1,9.64737367,7.337500123
1.33,2,12.34212853,7.666865024
1.33,3,15.14500527,8.12199851
1.33,4,17.98140891,8.820449118
1.33,5,20.83362705,9.492118055
1.33,6,23.81960922,10.26451267
1.33,7,26.76295262,11.11582014
1.33,8,29.6497736,12.27561963
1.33,9,32.45485199,13.47681724
1.33,10,35.55952906,14.52578597
1.33,11,38.27323914,16.03110676
1.33,12,40.97900656,17.64744938
1.33,13,43.59681478,18.98454118
1.33,14,46.33661324,20.49501989
1.33,15,48.66748286,22.23923058
2,0,12.50553093,5.556086972
2,1,17.34858388,6.25596625
2,2,22.21574943,6.93792355
2,3,27.20713476,7.912267301
2,4,32.19064214,9.032528567
2,5,37.09455974,10.25232259
2,6,42.13429866,11.72528072
2,7,47.15060254,13.23762116
2,8,52.01898667,15.21398834
2,9,56.72611384,17.28454181
2,10,61.75956754,19.41286985
2,11,66.54726348,21.84620144
2,12,71.21679704,24.4873064
2,13,75.70542534,27.13070987
2,14,80.13289831,30.03996263
2,15,84.93439791,33.14614464
3,0,20.45091264,5.784666428
3,1,28.58521035,6.732915892
3,2,36.64873907,7.952070417
3,3,44.99092006,9.502717645
3,4,53.28578645,11.35682366
3,5,61.58536575,13.52719118
3,6,70.30469781,16.08263501
3,7,78.96180477,18.94747297
3,8,87.38700842,22.13680373
3,9,95.78775327,25.66006394
3,10,104.6406113,29.59848231
3,11,113.1322487,33.7921734
3,12,121.8480289,38.40954256
3,13,130.2710013,43.31058937
3,14,138.8918373,48.7813541
3,15,148.3174548,54.65037579
4,0,27.45314941,6.254507369
4,1,38.78835325,7.521868868
4,2,50.1590703,9.235903021
4,3,62.06881966,11.41246367
4,4,74.12808265,14.06731426
4,5,86.28343065,17.21180434
4,6,99.27790101,20.93354595
4,7,112.2047546,25.17948778
4,8,125.1644903,29.92824011
4,9,138.5317587,35.2473243
4,10,152.5028736,41.26913532
4,11,166.6021149,47.90171889
4,12,180.9536591,55.1737746
4,13,195.1076813,62.97644533
4,14,209.0735014,71.41335472
4,15,224.9745345,80.99255313
5,0,34.55271121,6.765489837
5,1,49.16336138,8.397714696
5,2,63.8962158,10.60277924
5,3,79.43630853,13.43944544
5,4,95.39387034,16.93156981
5,5,111.5382337,21.07567853
5,6,128.986317,26.03183864
5,7,146.3956601,31.69283495
5,8,164.2015838,38.11809835
5,9,182.8539472,45.3811291
5,10,202.3637732,53.62219238
5,11,222.3541743,62.80790132
5,12,243.186659,73.02848984
5,13,263.7974202,84.01777387
5,14,283.7527713,95.75224784
5,15,307.4987451,109.5668228
6,0,42.10817738,7.321236438
6,1,60.26308757,9.351576886
6,2,78.64521335,12.10093541
