Mach,AOA,Lift,Drag
2,0,13.69924141,5.229651423
2,1,19.41976068,5.807376049
2,2,25.19338883,6.598227921
2,3,30.93922087,7.599291695
2,4,36.78945476,8.819458054
2,5,42.4115964,10.23148609
2,6,48.42793193,11.92106938
2,7,53.87373571,13.72742508
2,8,59.64060482,15.80596705
2,9,65.40612575,18.11701588
2,10,70.73812044,20.53664833
2,11,75.75841887,23.12117315
2,12,81.55426115,26.11754926
2,13,87.00118119,29.23690745
2,14,92.37849527,32.56504517
2,15,97.05140201,35.88191598
3,0,21.72928647,5.843542409
3,1,31.0514249,6.808381252
3,2,40.52509034,8.135320325
3,3,49.99698258,9.817575513
3,4,59.70370197,11.87972661
3,5,69.13403559,14.26922288
3,6,79.24233097,17.13544778
3,7,88.57020058,20.23260301
3,8,98.54890561,23.82459261
3,9,108.6460521,27.83516801
3,10,118.1987497,32.10325187
3,11,127.8309602,36.80669994
3,12,138.511432,42.19034995
3,13,148.6915966,47.85117205
3,14,158.8930651,53.94781138
3,15,167.994751,60.10597763
4,0,28.91056585,6.356753735
4,1,41.64555775,7.672026298
4,2,54.77208233,9.503372615
4,3,67.96615068,11.83795886
4,4,81.71536695,14.73598593
4,5,95.2900227,18.13323893
4,6,110.1193684,22.26140554
4,7,123.6683416,26.70565375
4,8,138.7047848,31.98005284
4,9,154.2548938,37.96042174
4,10,169.2564656,44.40750898
4,11,183.9554325,51.39616759
4,12,201.2111295,59.70440957
4,13,218.0248149,68.5704921
4,14,235.1540772,78.23990564
4,15,251.1856935,88.26611987
5,0,36.4204984,6.892110804
5,1,52.76102547,8.583207531
5,2,69.7548212,10.95648929
5,3,86.93494629,13.99707235
5,4,105.0032401,17.79840297
5,5,122.9257306,22.27084851
5,6,142.7842446,27.75609359
5,7,161.156086,33.71803305
5,8,181.6788202,40.82988863
5,9,203.1206049,48.95272855
5,10,223.9183122,57.75080122
5,11,244.4999681,67.34479122
5,12,268.7367445,78.80241261
5,13,292.6898999,91.14697212
5,14,317.3363668,104.7067047
5,15,340.9627258,118.9564437
6,0,44.40646442,7.461313039
6,1,64.62956668,9.562067394
6,2,85.84647636,12.53181691
6,3,107.4221618,16.35383067
6,4,130.3337269,21.16647786
6,5,153.3087587,26.87470951
6,6,178.9037465,33.89900955
6,7,202.8065174,41.59097625
6,8,229.7524521,50.8270511
6,9,258.2119616,61.45658129
6,10,286.075983,73.05032612
6,11,313.4155494,85.63728181
6,12,346.3311083,100.9002111
6,13,378.9739898,117.3980766
6,14,412.7151206,135.5933296
6,15,444.8524773,154.6549682
7,0,52.87145668,8.064613347
7,1,77.28069734,10.61179117
7,2,103.0893854,14.23472259
7,3,129.5754869,18.926865
7,4,157.9189843,24.87006521
7,5,186.5661468,31.96259467
7,6,218.7588105,40.73802352
7,7,249.0266476,50.40088917
7,8,283.4648514,62.08074053
7,9,320.1265667,75.59967601
7,10,356.0166278,90.36682517
7,11,391.4410061,106.4476996
7,12,434.2485842,126.0391454
7,13,477.042696,147.3375228
7,14,521.4885683,170.9210843
7,15,564.1826251,195.7608718
8,0,61.83807343,8.703694452
8,1,90.78197048,11.73838154
8,2,121.5722231,16.07468365
8,3,153.4137101,21.71944249
8,4,187.7849383,28.91385216
8,5,222.7986651,37.54997178
8,6,262.4511307,48.28985587
8,7,299.9792928,60.17548129
8,8,343.0131609,74.62725167
8,9,388.9581859,91.40185683
8,10,434.3644955,109.8361376
8,11,479.1138912,129.9051933
8,12,533.5459264,154.5094202
8,13,588.1421056,181.3298868
8,14,644.9617204,211.0958989
8,15,699.9134504,242.5878963
9,0,71.31388278,9.37920646
9,1,105.1392693,12.94251465
9,2,0,0
9,3,178.9682657,24.73550739
9,4,220.003458,33.30755404
9,5,262.0533149,43.6427696
9,6,310.151153,56.58098502
9,7,355.7891914,70.93444357
9,8,408.6034881,88.50162657
9,9,465.1633252,108.9558873
9,10,521.5219519,131.5570172
9,11,576.635129,156.0540859
9,12,644.3157926,186.3195717
9,13,712.6876168,219.4811717
9,14,783.9084574,256.3424378
9,15,852.8945349,295.4028948
10,0,81.32822594,10.09322548
10,1,120.347338,14.22356284
10,2,0,0
10,3,206.3052433,27.98253985
10,4,254.6681519,38.06328917
10,5,304.4563972,50.26003135
10,6,361.9228348,65.62331907
10,7,416.3751886,82.66908922
10,8,480.0517862,103.6733336
10,9,548.7457533,128.2464878
10,10,617.4995483,155.5142496
10,11,684.0296839,184.8920359
10,12,766.7858911,221.5248801
10,13,850.538654,261.7505041
10,14,937.9984358,306.5595428
10,15,1022.619877,354.0322974
11,0,91.88590817,10.8460976
11,1,136.3942954,15.58088466
11,2,0,0
11,3,235.4310664,31.46113112
11,4,291.8048202,43.18387173
11,5,350.1066414,57.4161828
11,6,417.913374,75.43850004
11,7,482.2018313,95.45167201
11,8,557.9106893,120.2356849
11,9,640.0275372,149.3502215
11,10,722.039959,181.6552656
11,11,801.2520252,216.434029
11,12,901.2868458,260.2393263
11,13,1001.724451,308.1453613
11,14,1106.926124,361.7313169
11,15,1209.589783,418.6423089
